name,lat,lon
Aamby Valley Airport,18.60961723,73.37758636
Abhinav Nagar AFS,19.21677589,72.92015839
Abu Road Airport,24.49419975,72.78150177
Adampur AFS (VIAX),31.43317795,75.75815582
Agartala Airport (IXA/VEAT),23.88699913,91.24040222
Agatti Island Airport (AGX/VOAT),10.82369995,72.1760025
Agra AFS (AGR/VIAG),27.15769005,77.96092224
Ahmedabad International Airport (AMD/VAAH),23.07194901,72.6287384
Ahmedabad SGVP Helipad,23.13337898,72.53944397
Aizawl Airport (AJL/VEAZ),23.7465992,92.80280304
Ajog Helipad,32.92189026,76.45773315
Akbarpur Airport,26.44759941,82.56819916
Akhnoor Heliport,32.95356369,74.7237854
Akkulam Helipad,8.52288818,76.90804291
Akola Airport (AKD/VAAK),20.6989994,77.05860138
Along Airport (IXV/VEAN),28.17427826,94.80123138
Amausi Airport (LKO/VILK),26.7602787,80.87833405
Ambala AFS (VIAM),30.37209892,76.81387329
Ambu Bet AFS,19.13616562,72.79108429
Amla Airport,21.92639923,78.11360168
Amravati Airstrip,20.81334877,77.71791077
Amreli Airstrip,21.61985016,71.22333527
Amritsar International Airport (ATQ/VIAR),31.70874786,74.79774475
Angul Airport (JSPL),20.91194916,85.03258514
Annandale Helipad,31.11138916,77.15694427
Army War College Helipad,22.52453041,75.75422668
Asham Air Base,34.24890518,74.64897156
Aurangabad Airport (IXU/VAAU),19.86269951,75.39810181
Avadi Helipad,13.14826298,80.08043671
"Aviation Research Centre, RAW Headquarter Helipad",30.70644951,77.8615036
Awantipur Air Force Station (VIAW),33.87659836,74.97570038
Baba Mastnath University Helipad,28.87486458,76.6379776
Bagdogra AFS (IXB/VEBD),26.68120003,88.32859802
Bahadurgarh Government College Helipad,28.67931366,76.92920685
Bakshi Ka Talab AFS (VIBL),26.98830032,80.89309692
Baljek Airport,25.66148758,90.34503937
Balurghat Airport (RGH/VEBG),25.26169968,88.79560089
Bamrauli AFS (IXD/VIAL),25.44009972,81.73390198
Banagram Helipad,23.38609505,87.51454926
Banasthali Airstrip,26.40768051,75.86965179
Band Tal Airstrip,26.00009918,78.26180267
Bangalore Dollars Helipad,13.01816273,77.58151245
Bangalore HAL Airport (VOBG),12.94999981,77.66819763
Banswara Airport,23.5897007,74.31269836
Bapatla Helipad,15.84618759,80.49712372
Baramati Airport,18.22694397,74.59083557
Barbil Aerodrome (JSPL),22.0486145,85.37419128
Bareilly AHP,28.33737755,79.46124268
Bareli AFS (BEK/VIBY),28.42210007,79.45079803
Barnala AFS,30.42404747,75.55105591
Barrackpore AFS (VEPI),22.78285027,88.35960388
Bathinda AFS (BUP/VIBT),30.27009964,74.75579834
Bathinda Air Base,30.23438454,75.05001831
Begumpet AFS (BPM/VOHY),17.4531002,78.46759796
Behala Airport (VEBA),22.5042305,88.29342651
Behora Airfield,26.63809395,93.71163177
Belgaum Airport (IXG/VABM),15.85929966,74.61830139
Bellary Airport (BEP/VOBI),15.16118431,76.88245392
Bengaluru International Airport (BLR/VOBL),13.20706749,77.70388031
Bengdubi Hospital Helipad,26.71475792,88.32066345
Bentayan Airport,23.0951004,75.88529968
Bhagalpur Airport,25.24935913,87.00978088
Bharkot Airport,30.58289909,78.3234024
Bhavnagar Airport (BHU/VABV),21.75219917,72.18520355
Bhilai Airport,21.2942009,81.37950134
Bhilwara Airport,28.07710075,76.20500183
Bhiwani Airport (VIBW),28.83699989,76.17910004
Bhopal Airport (BHO/VABP),23.28860474,77.33023834
Bhopal Helipad,23.22948647,77.48256683
BHU Airfield,25.25366783,82.99105835
Bhuj AFS (BHJ/VABJ),23.28779984,69.67019653
Bhuntar Airport (Kullu Airport) (KUU/VIBR),31.87669945,77.15440369
Bidar AFS (VOBR),17.90810013,77.48709869
Bihta AFS,25.59109116,84.88339233
Bijapur Helipad,16.83002281,75.69142914
Biju Patnaik Airport (BBI/VEBS),20.24440002,85.81780243
Bilaspur Airport (PAB/VABI),21.98839951,82.11100006
Bilaspur Helipad,31.34540367,76.75666809
Birlagram Airport,23.44689941,75.42030334
Birpur Airfield,26.50917053,87.0189209
Bishnupur Airfield,23.03392601,87.35486603
Bogura Radar Station Helipad,24.88729858,89.34674072
Bokaro Airport (VEBK),23.64349937,86.14890289
Burhar Airport,23.23520088,81.50370026
Burnpur Airport,23.63118553,86.97468567
Butcher Island Helipad,18.96229935,72.9030838
Calcutta International Airport (CCU/VECC),22.6538887,88.44638824
Car Nicobar AFS (CBD/VOCX),9.15250969,92.81960297
Catholic Medical Centre Helipad,24.80620003,93.94274902
Chabua AFS (VECA),27.46220016,95.11769867
Chaibasa Helipad,22.5156498,85.78749084
Chakeri AFS (VICX),26.40430069,80.41010284
Chakulia AFS (VECK),22.4605999,86.70780182
Chanda Airport,19.99469948,79.22250366
Chandigarh AFS (IXC/VICG),30.67329216,76.78898621
Chandimandir Helipad,30.73471832,76.88145447
Charbatia AFS,20.5496006,85.88629913
Charra Airfield,23.36577797,86.43673706
Chennai International Airport (MAA/VOMM),12.99441624,80.18052673
Chettinad Airstrip,10.16499615,78.79376984
Chhapra Airfield,25.78267479,84.76325989
Chimney Hills AFS,13.07445526,77.48895264
Cholavaram Airstrip,13.21024227,80.15234375
Chorhata Airport,24.5034008,81.22029877
Chunapur AFS (PUI/VEPU),25.76021767,87.40974426
Clement Town Heliport,30.25948524,78.01450348
Cochin International Airport (COK/VOCI),10.15125084,76.40174866
Coco Island Airport (VYCI),14.13954449,93.36820221
Coimbatore AFS (VOSX),11.01463223,77.16124725
Coimbatore Airport (CJB/VOCB),11.03222179,77.04305267
Cooch Behar Airport (COH/VECO),26.33049965,89.46720123
Cuddapah Airport (CDP/VOCP),14.51199436,78.77275085
Daltonganj Airport,24.01930046,84.0951004
Daman Airport (NMB/VADN),20.43440056,72.84320068
Daporijo Airport (DAE/VEDZ),27.98550034,94.22280121
Darbhanga AFS,26.19324303,85.91752625
Darman Heliport,20.43335152,72.84938049
Darui Helipad,32.56431961,75.08686066
Daulat Beg Oldi Advanced Landing Ground,35.3964653,77.92896271
Deesa Airport (VADS),24.26836014,72.20444489
Dehradun Airport (DED/VIDN),30.18969917,78.18029785
Deoghar Airport,24.44682121,86.70734406
Dhalbhumgarh AFS,22.5219059,86.56493378
Dhana Airport,23.75359917,78.85579681
Dhanbad Airport (DBD/VEDB),23.83399963,86.4253006
Dhanipur Airstrip (VIAH),27.86085701,78.14686584
Dhubulia Airstrip,23.49298477,88.45401764
Dhulia Airport,20.92650032,74.73709869
Dibrugarh Airport (DIB/VEMN),27.48390007,95.01689911
Digri Airstrip,22.78544044,87.36225128
Dimapur Airport (DMU/VEMR),25.88389969,93.77110291
Dinjan Airfield,27.53801727,95.26944733
Dinjan Heliport,27.54464531,95.23822021
Diu Airport (DIU),20.71310043,70.9210968
Dudhkundi Airfield,22.32459068,87.10742188
Duliajan Helipad,27.36618614,95.32292175
Dunakonda Airport (VODK),15.82448673,79.48667145
Dundigul AFS (VODG),17.62719917,78.40339661
Durgapur Airport (RDP/VEDG),23.6213131,87.2435379
Durgapur Steel Plant Airfield,23.5833931,87.33963776
Faizabad Airport,26.75112915,82.15436554
Fazilka Helipad,30.39480972,74.05426025
Ferozepur Airfield,30.89666939,74.58268738
Ferozepur Helipad,30.90526962,74.60861969
Fukche Advanced Landing Ground,32.93740082,79.21320343
Fursatganj Airport (VIRB),26.24850082,81.38050079
