office_code,office_name,pincode
A01,AHMEDABAD APEX,382330
A02,BARODA BRANCH,390016
A03,RAJKOT BRANCH,360002
A04,SURAT APEX,394325
A05,VAPI BRANCH,396195
A07,ANKLESHWAR BRANCH,393002
A11,KHOKHRA BRANCH,380008
A16,KUTCH DDLP SUPER FRANCHISE,370201
A17,BARODA SCS APEX,390022
A18,MEHSANA SERVICE CENTER,384002
A19,BAKROL APEX,382210
A21,SURAT SCS APEX,394327
A24,AHMEDABAD BRANCH,380009
A27,BHAVNAGAR SORTING OFFICE,364001
A33,JAMNAGAR BRANCH,361008
A36,AHMEDABAD WEST BRANCH,380060
A38,GANDHINAGAR BRANCH,382028
A44,ANAND BRANCH,388001
A45,SURENDRANAGAR BRANCH,363035
A46,SURAT CITY BRANCH,395007
A47,BHUJ SUPER FRANCHISEE,370001
A48,CHILODA BRANCH,382330
A49,HALOL BRANCH,390022
A50,SANAND SERVICE CENTER,382170
A51,DAHEJ SORTING OFFICE,392130
A52,AHMEDABAD T/S APEX,382330
A53,AHMEDABAD AIRPORT,382330
A54,SURAT AIRPORT,394325
B01,MANGALORE SUPER FRANCHISEE,575003
B02,MYSORE BRANCH,570022
B03,HUBLI BRANCH,580021
B05,GULBARGA SUPER FRANCHISEE,585104
B06,BOMMANAHALLI BRANCH,560068
B07,CHAMRAJPET BRANCH,560018
B08,PEENYA BRANCH,560058
B09,RAJAJINAGAR BRANCH,560044
B10,BANGALORE YELAHANKA APEX,560064
B11,HENNUR BRANCH,560043
B112,SOUTH BANGALORE STORAGE CENTER APEX,560064
B113,ATTIBELE APEX,562107
B114,DTDC TECHNOLOGY INNOVATION CENTRE-2,560095
B115,KAMBIPURA IGSP BRANCH,560074
B116,MALLESHWARAM IGSP BRANCH,560003
B117,YELAHANKA T/S APEX,560064
B118,BANGALORE STATIONERY BRANCH,560064
B119,BANGALORE AIRPORT,560064
B120,RAJAJESHWARINAGAR BRANCH,560039
B13,CHITRADURGA SORTING OFFICE,577501
B14,DEVANAHALLI SERVICE CENTER,562110
B15,CORPORATE OFFICE APEX,560047
B16,BELGAUM SUPER FRANCHISEE,590001
B18,HASSAN BRANCH,573201
B19,HOSPET SUPER FRANCHISEE,583201
B24,BANGALORE INTERNATIONAL BRANCH,560064
B26,KOGILU BRANCH,560064
B27,HOSUR BRANCH,635126
B32,GOA PANJIM BRANCH,403005
B34,CORPORATE STORES - SIRSI CIRCLE BRANCH,560018
B35,WHITE FIELD BRANCH,560048
B36,BANGALORE NELAMANGALA APEX,562123
B37,BLR DP PROCESSING APEX,560064
B38,SHIMOGA SORTING OFFICE,577201
B39,SIRSI BRANCH OFFICE,581402
B41,BAGALKOT SORTING OFFICE,587101
B42,BIJAPUR SORTING OFFICE,586101
B43,TUMKUR SORTING OFFICE,572101
B44,BANGALORE AIRPORT BRANCH,560300
B47,BELLARY SORTING OFFICE,583103
B50,DAVANGERE BRANCH,577003
B51,MARGAO BRANCH,403601
B53,UDUPI NODAL POINT,576103
B58,DOMLUR BRANCH,560071
B59,SARAKKI BRANCH,560078
B61,NERALURU BRANCH,562107
B62,BIDAR SORTING OFFICE,585402
B63,RAICHUR SORTING OFFICE,584103
B64,CHIKMAGALUR BRANCH,577101
B65,VERNA BRANCH,403722
B68,HOSKOTE BRANCH,562114
B95,MANDYA NODAL POINT,571401
C02,PONDICHERRY BRANCH,605009
C08,KATPADI BRANCH,632004
C13,GUINDY BRANCH,600032
C14,AMINJIKARAI BRANCH,600029
C15,PARRYS BRANCH,600001
C20,VELAPPANCHAVADI APEX,600077
C22,VILLUPURAM BRANCH,605602
C30,TAMBARAM MASTER FRANCHISEE,600045
C35,CHENNAI INTERNATIONAL BRANCH,600032
C36,ELDAMS ROAD BRANCH,600018
C37,AMBATTUR BRANCH,600050
C38,PORUR BRANCH,600116
C41,GEC CHENNAI,600077
