code,type,sqft,rent,rent_per_sqft
A01,Hub,47592,"665,637.00",13.99
A01,Hub,62641,"1,103,550.00",17.62
A02,Branch,3272,"75,200.00",22.98
A03,Branch,4300,"136,500.00",31.74
A04,Hub,30376,"713,836.00",23.50
A05,Branch,4225,"84,893.00",20.09
A07,Branch,2000,"27,563.00",13.78
A11,Branch,2000,"87,516.00",43.76
A17,Branch,6000,"252,810.00",42.14
A18,Branch,2200,"28,122.00",12.78
A24,Branch,2847,"154,350.00",54.21
A36,Branch,1200,"66,854.00",55.71
A38,Branch,2100,"78,750.00",37.50
A44,Branch,680,"26,460.00",38.91
A46,Branch,4190,"201,120.00",48.00
A50,Branch,7000,"87,360.00",12.48
B03,Branch,3370,"112,138.00",33.28
B05,Branch,3000,"34,650.00",11.55
B06,Branch,11300,"242,130.00",21.43
B08,Branch,3600,"148,000.00",41.11
B09,Branch,2500,"95,721.00",38.29
B10,Hub,62960,"983,484.00",15.62
B11,Branch,5000,"220,500.00",44.10
B113,Hub,27165,"520,893.00",19.18
B13,Branch,670,"19,845.00",29.62
B16,Branch,420,"23,218.00",55.28
B18,Branch,1300,"26,460.00",20.35
B26,Branch,12500,"401,023.00",32.08
B27,Branch,3600,"64,885.00",18.02
B32,Branch,2142.77165,"78,750.00",36.75
B35,Branch,8020,"201,014.00",25.06
B35,Branch,5300,"200,340.00",37.80
B36,Hub,56125,"1,144,860.00",20.40
B36,Hub,11363,"223,889.00",19.70
B36,Hub,10000,"583,200.00",58.32
B38,Branch,1450,"33,600.00",23.17
B39,Branch,300,"16,105.00",53.68
B41,Branch,528,"14,641.00",27.73
B43,Branch,2600,"72,293.00",27.81
B47,Branch,400,"14,587.00",36.47
B50,Branch,4800,"52,500.00",10.94
B51,Branch,844,"33,075.00",39.19
B58,Branch,2800,"268,019.00",95.72
B58,Branch,4000,"282,709.00",70.68
B59,Branch,2700,"168,948.00",62.57
B64,Branch,1200,"19,144.00",15.95
B65,Branch,3300,"67,005.00",20.30
B68,Branch,1700,"44,671.00",26.28
C08,Branch,800,"62,260.00",77.83
C20,Hub,175015,"3,633,054.00",20.76
C13,Branch,5500,"467,500.00",85.00
C14,Branch,3850,"381,150.00",99.00
C15,Branch,1250,"84,366.00",67.49
C22,Branch,2500,"73,205.00",29.28
C30,Branch,1520,"87,980.00",57.88
C36,Branch,2700,"179,685.00",66.55
C37,Branch,1750,"176,834.00",101.05
C38,Branch,3400,"128,841.00",37.89
C48,Branch,4245,"136,599.00",32.18
C50,Branch,700,"52,094.00",74.42
C53,Branch,1750,"67,528.00",38.59
C57,Branch,1000,"57,880.00",57.88
C59,Branch,700,"15,803.00",22.58
C60,Branch,500,"29,282.00",58.56
C72,Branch,200,"5,315.00",26.58
C73,Branch,1115,"35,000.00",31.39
E01,Hub,11200,"295,000.00",26.34
E02,Branch,2050,"75,618.00",36.89
E03,Branch,3200,"38,400.00",12.00
E04,Hub,8750,"160,286.00",18.32
E05,Branch,1220,"38,720.00",31.74
E06,Branch,9000,"163,721.00",18.19
E07,Branch,1400,"19,184.00",13.70
E09,Branch,1160,"48,620.00",41.91
E10,Branch,900,"29,282.00",32.54
E11,Branch,768,"19,800.00",25.78
E13,Hub,7500,"105,000.00",14.00
E16,Branch,520,"16,800.00",32.31
E20,Branch,476,"20,160.00",42.35
E21,Branch,3200,"49,692.00",15.53
E23,Branch,1300,"33,600.00",25.85
E24,Branch,990,"14,700.00",14.85
H07,Branch,2493,"143,203.00",57.44
H08,Branch,4074,"314,411.00",77.18
H09,Branch,2300,"82,061.00",35.68
H11,Branch,5000,"105,000.00",21.00
H13,Hub,43205,"621,264.00",14.38
H48,Branch,2600,"124,449.00",47.87
H53,Branch,2040,"53,550.00",26.25
H66,Hub,25000,"437,500.00",17.50
H66,Hub,5000,"216,000.00",43.20
H70,Branch,2300,"88,578.00",38.51
H70,Branch,1650,"224,833.00",136.26
H71,Branch,1975,"104,450.00",52.89
H74,Branch,2200,"98,399.00",44.73
H79,Branch,6000,"114,604.00",19.10
H80,Branch,3000,"101,023.00",33.67
H92,Branch,1350,"25,269.00",18.72
I02,Branch,6346,"132,933.00",20.95
I03,Branch,1750,"57,434.00",32.82
I08,Branch,5000,"94,500.00",18.90
I19,Branch,1000,"24,000.00",24.00
I20,Branch,300,"8,102.00",27.01
I24,Hub,32060,"583,212.00",18.19
I30,Branch,185,"6,300.00",34.05
I34,Branch,820,"17,868.00",21.79
I39,Branch,300,"8,934.00",29.78
J01,Branch,7000,"551,250.00",78.75
J02,Branch,5580,"146,475.00",26.25
J03,Branch,20000,"449,440.00",22.47
J04,Branch,5000,"154,734.00",30.95
J05,Branch,5000,"220,500.00",44.10
J07,Branch,1475,"60,775.00",41.20
J08,Branch,1360,"40,203.00",29.56
J10,Hub,14800,"222,000.00",15.00
J11,Branch,540,"14,104.00",26.12
J11,Branch,650,"26,647.00",41.00
J14,Branch,700,"64,782.00",92.55
J15,Branch,2240,"131,079.00",58.52
J17,Branch,650,"26,877.00",41.35
J18,Branch,945,"40,205.00",42.54
J19,Branch,1319,"57,762.00",43.79
J21,Branch,3400,"127,628.00",37.54
J25,Branch,1620,"40,517.00",25.01
J26,Branch,6655,"154,350.00",23.19
J29,Hub,20000,"771,750.00",38.59
J33,Branch,650,"19,548.00",30.07
J36,Branch,1425,"38,588.00",27.08
J37,Branch,1719,"44,534.00",25.91
J39,Branch,1400,"58,800.00",42.00
J48,Branch,750,"51,194.00",68.26
J50,Branch,825,"63,320.00",76.75
J53,Branch,2103,"139,778.00",66.47
K01,Branch,1390,"309,586.00",222.72
K03,Branch,1500,"28,941.00",19.29
K07,Branch,9400,"227,010.00",24.15
K08,Branch,1408,"77,440.00",55.00
K104,Branch,300,"4,025.00",13.42
K129,Branch,5337,"82,377.00",15.44
K130,Branch,1080,"25,000.00",23.15
K14,Branch,5040,"95,760.00",19.00
K15,Branch,1407,"28,636.00",20.35
K15,Branch,1100,"27,830.00",25.30
K16,Hub,5644,"181,737.00",32.20
K16,Hub,1920,"82,560.00",43.00
K16,Hub,4822,"155,268.00",32.20
K16,Hub,5794,"186,567.00",32.20
K16,Hub,6266,"201,765.00",32.20
K16,Hub,3222,"103,748.00",32.20
K16,Hub,1035,"44,505.00",43.00
K22,Branch,2500,"68,355.00",27.34
K23,Branch,1300,"36,300.00",27.92
K26,Branch,11020,"353,021.00",32.03
K32,Branch,500,"14,375.00",28.75
K32,Branch,700,"17,625.00",25.18
K37,Branch,1800,"38,588.00",21.44
K39,Branch,2083,"225,400.00",108.21
K40,Branch,1600,"53,280.00",33.30
K45,Branch,2775,"72,280.00",26.05
K51,Branch,2010,"100,500.00",50.00
K56,Branch,900,"24,158.00",26.84
K66,Hub,14500,"216,534.00",14.93
K68,Branch,2000,"94,500.00",47.25
K72,Branch,4500,"109,148.00",24.26
K75,Branch,1500,"48,400.00",32.27
K79,Branch,1700,"25,200.00",14.82
K81,Branch,3000,"63,657.00",21.22
K82,Branch,450,"15,870.00",35.27
K84,Branch,350,"7,935.00",22.67
K88,Branch,2550,"234,500.00",91.96
K89,Branch,600,"21,160.00",35.27
K95,Hub,65000,"1,655,404.00",25.47
L02,Branch,406,"48,620.00",119.75
L02,Branch,1000,"116,406.00",116.41
L02,Branch,200,"20,274.00",101.37
L02,Branch,400,"18,470.00",46.18
L03,Branch,1800,"150,624.00",83.68
L04,Hub,4800,"124,180.00",25.87
L04,Hub,3600,"152,087.00",42.25
L04,Hub,4500,"121,670.00",27.04
L04,Hub,3500,"400,000.00",114.29
L04,Hub,2700,"40,793.00",15.11
L05,Branch,112000,"1,390,069.00",12.41
L14,Branch,2700,"91,253.00",33.80
L24,Hub,88050,"1,543,500.00",17.53
L27,Branch,1800,"113,909.00",63.28
L28,Branch,2500,"27,563.00",11.03
M01,Branch,6103,"1,009,760.00",165.45
M02,Branch,2700,"630,000.00",233.33
M04,Branch,1118,"231,000.00",206.62
M06,Branch,1351.29,"302,500.00",223.86
M07,Branch,3753,"441,000.00",117.51
M07,Branch,3370.04,"358,313.00",106.32
M08,Branch,8000,"770,555.00",96.32
M10,Hub,38000,"5,565,001.00",146.45
M33,Hub,375038,"6,615,000.00",17.64
M39,Branch,928,"75,000.00",80.82
M45,Branch,1493,"230,445.00",154.35
M46,Branch,2092,"150,000.00",71.70
M47,Branch,1865,"226,270.00",121.32
M48,Branch,1260,"203,172.00",161.25
M48,Branch,1260,"202,647.00",160.83
M50,Branch,8137,"525,000.00",64.52
M63,Branch,225,"15,000.00",66.67
M68,Branch,500,"140,000.00",280.00
M78,Branch,2500,"441,000.00",176.40
N02,Branch,9300,"488,750.00",52.55
N03,Branch,8500,"619,910.00",72.93
N05,Hub,79500,"3,005,035.00",37.80
N05,Hub,42000,"1,470,000.00",35.00
N09,Branch,3500,"415,000.00",118.57
N10,Branch,4300,"437,000.00",101.63
N11,Branch,1700,"108,445.00",63.79
N11,Branch,1800,"112,568.00",62.54
N11,Branch,2000,"113,867.00",56.93
N15,Branch,3300,"200,000.00",60.61
N17,Branch,4700,"400,000.00",85.11
N30,Branch,5400,"239,207.00",44.30
N30,Branch,3726,"164,317.00",44.10
N31,Branch,2500,"68,905.00",27.56
N32,Branch,8000,"236,111.00",29.51
N35,Branch,3500,"91,875.00",26.25
N37,Branch,3000,"94,259.00",31.42
N38,Branch,2200,"187,786.00",85.36
N38,Branch,1100,"51,794.00",47.09
O01,Branch,2900,"34,728.00",11.98
O01,Branch,900,"10,500.00",11.67
O02,Branch,5650,"159,720.00",28.27
O03,Branch,2500,"58,564.00",23.43
O04,Branch,5800,"159,863.00",27.56
O05,Branch,3900,"142,214.00",36.47
O06,Hub,26500,"686,941.00",25.92
O07,Branch,2300,"52,920.00",23.01
O08,Branch,2900,"65,230.00",22.49
O09,Branch,4500,"89,690.00",19.93
O11,Branch,3672,"64,497.00",17.56
O12,Branch,1500,"31,944.00",21.30
O14,Branch,220,"11,819.00",53.72
O17,Branch,100,"6,366.00",63.66
O17,Branch,250,"15,000.00",60.00
O21,Branch,712,"14,641.00",20.56
O23,Branch,1500,"17,260.00",11.51
O23,Branch,5010,"193,670.00",38.66
O25,Branch,750,"26,016.00",34.69
O60,Branch,1080,"26,250.00",24.31
O88,Branch,712,"21,728.00",30.52
O89,Branch,900,"24,150.00",26.83
O90,Branch,1800,"40,000.00",22.22
P01,Hub,42400,"1,288,561.00",30.39
P04,Branch,10000,"265,900.00",26.59
P06,Branch,1800,"40,446.00",22.47
P09,Branch,2100,"105,000.00",50.00
P11,Branch,4000,"63,000.00",15.75
P12,Branch,4400,"305,614.00",69.46
P15,Branch,5000,"201,300.00",40.26
P16,Branch,650,"48,315.00",74.33
P19,Branch,10000,"267,750.00",26.78
P24,Branch,2300,"53,130.00",23.10
