state,gdp
MAHARASHTRA,40443
TAMIL NADU,27216
UTTAR PRADESH,25479
KARNATAKA,25007
GUJARAT,24258
WEST BENGAL,17009
RAJASTHAN,15284
TELANGANA,15020
ANDHRA PRADESH,14397
MADHYA PRADESH,13633
KERALA,11461
DELHI,11077
HARYANA,10955
ODISHA,8535
BIHAR,8544
PUNJAB,7449
ASSAM,5702
CHHATTISGARH,5059
JHARKHAND,4610
UTTARAKHAND,3462
JAMMU AND KASHMIR,2411
HIMACHAL PRADESH,2074
GOA,
TRIPURA,826
CHANDIGARH,
MEGHALAYA,531
PUDUCHERRY,479
SIKKIM,489
MANIPUR,
NAGALAND,
ARUNACHAL PRADESH,
MIZORAM,
ANDAMAN AND NICOBAR ISLANDS,
